spec,alpha,gamma,beta,loglik,aic,bic,converged
gjr_normal,0.028602527439515826,0.1481406600273354,0.8569071932948387,-3427.6538635249217,6865.307727049843,6894.825708497915,True
gjr_t,0.0,0.1370127852521872,0.890607836930566,-3359.038154958632,6730.076309917264,6765.497887654949,True
gjr_skewt,1.649189452395012e-13,0.1422618549610497,0.8890828528327711,-3345.0553148876734,6704.110629775347,6745.435803802647,True
garch_normal,0.10406419642693816,,0.8723760778096508,-3458.565470516415,6925.13094103283,6948.745326191288,True
