Date,garch11,gjr_normal,sq_ret
2021-02-12,1.691882768807652,0.7727568641000582,0.0043463652868460274
2021-02-15,1.4867657961471172,0.7108552170930847,0.9870705574254028
2021-02-16,1.4219054419422807,0.6709237250080683,6.662519237364358e-05
2021-02-17,1.2562120295590369,0.6218521001945126,0.46932521438180025
2021-02-18,1.1800408438313896,0.6639048305857661,0.3518710168006829
2021-02-19,1.0948429396165125,0.6807298495663422,0.8310406535122272
2021-02-22,1.0785868235091907,0.7789155819841781,4.2599786171268885
2021-02-23,1.4654529127527034,1.4536547516868454,0.047736742634975314
2021-02-24,1.2975380982523934,1.3143079822072177,3.411973651455333
2021-02-25,1.5030638981726618,1.1920453106053508,0.5882468665840738
2021-02-26,1.383399337196848,1.0829242259816994,14.716586003157508
2021-03-01,2.9156357073336117,3.5953407392785035,2.518191586506026
2021-03-02,2.814635561477813,3.192530601221242,1.127086088706344
2021-03-03,2.5780041168496974,2.8409224208608257,4.686647461777636
2021-03-04,2.7536455283486756,2.542596066780428,1.1819636397721915
2021-03-05,2.5642609236868186,2.4876483257574176,0.9032841086434854
2021-03-08,2.3669564856196823,2.3882728100650423,0.014664545034049304
2021-03-09,2.08186031068168,2.1318591632621002,0.8954574151910065
2021-03-10,1.9179822563059685,1.9075951891621037,0.2547564715726739
2021-03-12,1.7108187159551098,1.7134500426340038,0.9072034318386492
2021-03-15,1.625994023778421,1.7071406725262037,0.4586405147305578
2021-03-16,1.4974840744266247,1.6197707344184011,0.01630215342508128
2021-03-17,1.3271310672296273,1.4589097795444084,1.6299402045342952
2021-03-18,1.3784383503286077,1.6127181334875378,1.2465881387331132
2021-03-19,1.3771286449981592,1.679123917085508,1.6143939090138637
2021-03-22,1.3810165794491263,1.5104457258744455,0.0026581274169794216
2021-03-23,1.224187619868995,1.3589948892412016,0.28118161012701454
2021-03-24,1.1098051782332032,1.2248696652343447,3.266522550331266
2021-03-25,1.3830444396156478,1.7020319133804713,2.4181722481200745
2021-03-26,1.5178891316657204,1.9679229581738844,1.6008951429687055
2021-03-30,1.5022081358819999,1.762007942489735,5.298219067253918
2021-03-31,1.8836483797424708,1.587063705282043,1.0931046148996282
2021-04-01,1.7976832891250978,1.6290398707886746,1.4287070306524934
2021-04-05,1.7268012166897289,1.465261637762495,2.421228265202188
2021-04-06,1.8171992873400962,1.7602169675069375,0.0971695899152669
2021-04-07,1.6094329430189327,1.5785290827365503,0.8443933242559853
2021-04-08,1.5019367677324198,1.4192097363354657,0.1359957903900227
2021-04-09,1.3387758176707172,1.2788504301813,0.06875653005131031
2021-04-12,1.2009239512127805,1.169779626411117,12.934548136788399
2021-04-13,2.5433153752371256,3.3458110340827503,1.8130978906029436
2021-04-15,2.4209491671358028,2.981146414592933,0.2777891517912723
2021-04-16,2.156855373987862,2.6555214181252453,0.06215904767295493
2021-04-19,1.9083629121390546,2.371769629151451,3.180901609627406
2021-04-20,2.0642178555139568,2.7023915478658074,0.19364321121020536
2021-04-22,1.8514004644488018,2.4503912303660753,0.5848335710323902
2021-04-23,1.6908875221000494,2.1911093302705473,0.20324589407798996
2021-04-26,1.5265798383440947,2.002029981141119,0.9933481904268723
2021-04-27,1.4482269119614979,1.7989586856373032,1.3305300375865199
2021-04-28,1.4146819284247827,1.6174505007412974,2.0536835512198572
2021-04-29,1.4600977834871256,1.459027719508233,0.04160491560403346
2021-04-30,1.297668937717694,1.3144734128697408,3.1931993189583987
2021-05-03,1.5316290615651105,1.7600227832837387,0.0004346880034877908
2021-05-04,1.3587212559268889,1.5819145898727625,0.8931429824214105
2021-05-05,1.3190607656733349,1.5881636906200602,0.6949084633622366
2021-05-06,1.2354708026007528,1.4296946207392283,0.531408323345698
2021-05-07,1.1456416476348859,1.288888185599783,0.4431618693570196
2021-05-10,1.06046966911437,1.1683510753693531,0.6414829061538804
2021-05-11,1.0048359004549652,1.0585192181506116,0.37811037502614814
2021-05-12,0.9492504874261259,1.0344300777037092,1.0901445649397834
2021-05-14,0.988578485098504,1.142473317010493,0.016211281511385556
2021-05-17,0.8878146280729994,1.0400680968132814,2.7481648304644577
2021-05-18,1.0776204503273368,0.9504938616605808,1.5171522179257508
2021-05-19,1.110460233009668,0.8696774230657673,0.26757738158648436
2021-05-20,1.0285738508093603,0.8478002275674521,0.6874154392176657
2021-05-21,1.0082203604141222,0.904776431222989,3.2047929580259766
2021-05-24,1.2258937001391315,0.8315238248000344,0.021756846718102053
2021-05-25,1.0915784457367697,0.7617898877506508,0.004999816639845859
2021-05-26,0.9751020775686462,0.701181181702576,0.3716610068604684
2021-05-27,0.9049626685372104,0.648063797634665,0.056453583249329725
2021-05-28,0.8152082882167871,0.6000835865421591,0.4040115465334541
2021-05-31,0.7685567529975272,0.5584512826597776,0.9002090849758445
2021-06-01,0.7774730157318293,0.5229469831478143,0.002604271353068206
2021-06-02,0.7023939387492888,0.4903349885872232,7.518982334631807e-05
2021-06-03,0.6359706618182646,0.4611804182373895,0.5331523191157774
2021-06-04,0.6250529168517881,0.4371884752955299,0.016431099639470613
2021-06-07,0.5724787542340475,0.41753606033887325,0.2684417227376712
2021-06-08,0.5433900662620685,0.39647932222624777,0.0053813242177496706
2021-06-09,0.49879029029278643,0.3797037958757164,0.4458526750362723
2021-06-10,0.5214141677627014,0.451743715736857,0.42613916026317816
2021-06-11,0.5143885734133696,0.42711680814124486,0.15260666887872865
2021-06-14,0.48395821984078863,0.4082689410416719,0.006254579528820823
2021-06-15,0.4451140968118797,0.3881779243335876,0.13130768469200252
2021-06-16,0.42136309492833735,0.370700769485424,0.41335335271968254
2021-06-17,0.4502883705453126,0.43807866259564443,0.23437234643185242
2021-06-18,0.45246737281801935,0.46711111404454064,0.0026337558630231675
2021-06-21,0.42033473922878933,0.44194442570492354,0.16148367963753174
2021-06-22,0.40205665458260087,0.41796521420598615,0.027743871085256704
2021-06-23,0.37478046176108315,0.39658466341127513,0.29752645261163924
2021-06-24,0.3949785752607663,0.43918122607062765,0.43246015991430814
2021-06-25,0.40642196814374254,0.41568400403559597,0.19509183607030164
2021-06-28,0.3928501521810852,0.39473959100844014,0.0830799821943029
2021-06-29,0.3803382398584818,0.39505770257501616,0.1762269573034912
2021-06-30,0.38238657829608674,0.4138475833864176,0.029335394054351236
2021-07-01,0.3635267377261145,0.4012418005808891,0.06986439493771097
2021-07-02,0.35263325820366603,0.397896747624843,0.07223859327064872
2021-07-05,0.33421590480208535,0.3785881169831847,0.5052177935543279
2021-07-06,0.36124718142653356,0.36237346571517487,0.010348370651940098
2021-07-07,0.3410917698671199,0.35072185211423057,0.15008674993912693
2021-07-08,0.33109244044931735,0.3370739881182369,0.9220243187899703
2021-07-09,0.43672809493799414,0.5078602375374429,0.05882676199303248
2021-07-12,0.41493550062936685,0.48986838201226846,0.0003183780916215073
2021-07-13,0.3840106701307312,0.4589202129418597,0.5779065950471994
2021-07-14,0.4115921653751398,0.43261752577338564,0.06903427176910887
2021-07-15,0.38494189725912376,0.40899659755090895,0.19547752486877892
2021-07-16,0.37318955511027035,0.3881399206462924,2.522751341980506e-05
2021-07-19,0.3481879111937721,0.36989779952732077,1.1657500540196604
2021-07-20,0.48322271192602784,0.5867425029727054,0.5877203283959214
2021-07-22,0.5247151692499608,0.6622564040160109,1.4894871854030134
2021-07-23,0.6310147529833392,0.6116045815079688,0.0408119331396259
2021-07-26,0.5719839363731039,0.565037731056012,0.03979602114304035
2021-07-27,0.5283646178023564,0.5348636425224106,0.24416141210845674
2021-07-28,0.5194422806883559,0.5500761428083628,0.05549187153622897
2021-07-29,0.4853106567227322,0.5249802024410584,0.1923535742578864
2021-07-30,0.4611221950212892,0.48982118544142955,0.009535837634937261
2021-08-02,0.42694927006498706,0.46191746882540985,0.5953903107375608
2021-08-03,0.4502703098010824,0.434847428437235,2.353970050128199
2021-08-04,0.6599343804171546,0.41323095129004417,0.6251907360659613
2021-08-05,0.6540730095671592,0.39239934385624703,0.04837588936941807
2021-08-06,0.5927905099923164,0.373559094464628,0.12021735383759084
